Geo Point;Geo Shape;NOM;LIGNE;TYPE;EN_SERVICE;COUVERT;ETIQUETTE;COMMUNE
43.6548298825,1.37357795208;"{""type"": ""Point"", ""coordinates"": [1.373577952081615, 43.654829882459836]}";ANDROMEDE LYCEE;T1;Tramway;2010;Aérien;Andromède-Lycée;BLAGNAC
43.648536214,1.37563989012;"{""type"": ""Point"", ""coordinates"": [1.375639890118613, 43.6485362140438]}";PLACE GEORGES BRASSENS;T1;Tramway;2010;Aérien;Place Georges Brassens;BLAGNAC
43.5928231394,1.41800077652;"{""type"": ""Point"", ""coordinates"": [1.418000776520711, 43.5928231393594]}";ARENES;T1;Tramway;2010;Aérien;Arènes;TOULOUSE
43.5856598577,1.42779289675;"{""type"": ""Point"", ""coordinates"": [1.427792896753639, 43.58565985773185]}";CROIX DE PIERRE;T1;Tramway;2013;Aérien;Croix de Pierre;TOULOUSE
43.6288573862,1.37934696233;"{""type"": ""Point"", ""coordinates"": [1.379346962334514, 43.62885738615042]}";DAURAT;T2;Tramway;2015;Aérien;Daurat;BLAGNAC
43.6313235613,1.37432766518;"{""type"": ""Point"", ""coordinates"": [1.374327665182169, 43.631323561287545]}";AEROPORT;T2;Tramway;2015;Aérien;Aéroport;BLAGNAC
43.6447573313,1.37745538623;"{""type"": ""Point"", ""coordinates"": [1.377455386225838, 43.64475733133737]}";GRAND NOBLE;T1;Tramway;2010;Aérien;Grand Noble;BLAGNAC
43.6404905597,1.38258554291;"{""type"": ""Point"", ""coordinates"": [1.382585542913087, 43.640490559656094]}";PATINOIRE BARRADELS;T1;Tramway;2010;Aérien;Patinoire-Barradels;BLAGNAC
43.6140846922,1.39830938594;"{""type"": ""Point"", ""coordinates"": [1.398309385940386, 43.61408469224184]}";ARENES ROMAINES;T1;Tramway;2010;Aérien;Arènes Romaines;TOULOUSE
43.6676848274,1.35991854214;"{""type"": ""Point"", ""coordinates"": [1.359918542143048, 43.667684827397935]}";PARC DES EXPOSITIONS;T1;Tramway;2020;Aérien;Parc des Expositions;BEAUZELLE
43.6343142873,1.39128832664;"{""type"": ""Point"", ""coordinates"": [1.391288326642886, 43.63431428725222]}";PASTEUR MAIRIE DE BLAGNAC;T1;Tramway;2010;Aérien;Pasteur-Mairie de Blagnac;BLAGNAC
43.6091072467,1.40200174488;"{""type"": ""Point"", ""coordinates"": [1.402001744875977, 43.609107246702365]}";PURPAN;T1;Tramway;2010;Aérien;Purpan;TOULOUSE
43.6008597056,1.4113866621;"{""type"": ""Point"", ""coordinates"": [1.411386662097399, 43.600859705625815]}";CARTOUCHERIE;T1;Tramway;2010;Aérien;Cartoucherie;TOULOUSE
43.624394577,1.38675527314;"{""type"": ""Point"", ""coordinates"": [1.386755273144404, 43.62439457702616]}";NADOT;T2;Tramway;2015;Aérien;Nadot;BLAGNAC
43.6634608463,1.3626028907;"{""type"": ""Point"", ""coordinates"": [1.362602890700919, 43.66346084626243]}";AEROCONSTELLATION;T1;Tramway;2010;Aérien;Aéroconstellation;BLAGNAC
43.6602551905,1.3695073352;"{""type"": ""Point"", ""coordinates"": [1.36950733519988, 43.66025519054014]}";BEAUZELLE - AEROSCOPIA;T1;Tramway;2010;Aérien;Beauzelle-Aéroscopia;BEAUZELLE
43.6362439363,1.38534180722;"{""type"": ""Point"", ""coordinates"": [1.385341807222508, 43.63624393633542]}";ODYSSUD RITOURET;T1;Tramway;2010;Aérien;Odyssud-Ritouret;BLAGNAC
43.6308693807,1.39173598965;"{""type"": ""Point"", ""coordinates"": [1.391735989650795, 43.63086938074371]}";GUYENNE BERRY;T1;Tramway;2010;Aérien;Guyenne-Berry;BLAGNAC
43.6254871006,1.39347945672;"{""type"": ""Point"", ""coordinates"": [1.393479456717965, 43.62548710059556]}";SERVANTY AIRBUS;T1;Tramway;2010;Aérien;Servanty-Airbus;BLAGNAC
43.603126587,1.40767639326;"{""type"": ""Point"", ""coordinates"": [1.407676393256462, 43.603126587002436]}";CASSELARDIT;T1;Tramway;2010;Aérien;Casselardit;TOULOUSE
43.5897066355,1.42157188341;"{""type"": ""Point"", ""coordinates"": [1.421571883410119, 43.58970663550303]}";DEODAT DE SEVERAC;T1;Tramway;2013;Aérien;Déodat de Séverac;TOULOUSE
43.5922018791,1.44046997363;"{""type"": ""Point"", ""coordinates"": [1.440469973626095, 43.59220187909762]}";ILE DU RAMIER;T1;Tramway;2013;Aérien;Ile du Ramier;TOULOUSE
43.636750436,1.39006237082;"{""type"": ""Point"", ""coordinates"": [1.390062370823038, 43.63675043601976]}";PLACE DU RELAIS;T1;Tramway;2010;Aérien;Place du Relais;BLAGNAC
43.6182502664,1.39690910563;"{""type"": ""Point"", ""coordinates"": [1.396909105626372, 43.61825026641039]}";ANCELY;T1;Tramway;2010;Aérien;Ancely;TOULOUSE
43.5948951278,1.40943609807;"{""type"": ""Point"", ""coordinates"": [1.40943609806695, 43.594895127834974]}";ZENITH;T1;Tramway;2010;Aérien;Zénith;TOULOUSE
43.5893166828,1.43179226124;"{""type"": ""Point"", ""coordinates"": [1.4317922612417, 43.58931668284477]}";AVENUE DE MURET - MARCEL CAVAILLE;T1;Tramway;2013;Aérien;Avenue de Muret-Marcel Cavaillé;TOULOUSE
43.592622095,1.4354452301;"{""type"": ""Point"", ""coordinates"": [1.435445230098138, 43.59262209500403]}";FER A CHEVAL;T1;Tramway;2013;Aérien;Fer à cheval;TOULOUSE
43.5927489698,1.44403327465;"{""type"": ""Point"", ""coordinates"": [1.444033274647159, 43.5927489697676]}";PALAIS DE JUSTICE;T1;Tramway;2013;Aérien;Palais de justice;TOULOUSE
